ID,TREAT,DATE,TRIAL,REPLICATE,AREAPXL,AREAMM2,CONTAMINANT,LIPID_WEIGHT
TSF1S0701,T. sirtalis,23/11/2021,TSF,1,1169092,798.977,yes,61.1
TSF1S0701,T. sirtalis,23/11/2021,TSF,2,677960,461.232,no,61.1
TSF1S0701,T. sirtalis,23/11/2021,TSF,3,273940,183.947,no,61.1
,Control,23/11/2021,TSF,1,1521158,1048.106,no,
,Control,23/11/2021,TSF,2,1399458,955.977,yes,
,Control,23/11/2021,TSF,3,1334752,951.565,no,
CB4S0719,Ch. bottae,23/11/2021,CB,1,253607,181.955,,30.4
CB4S0719,Ch. bottae,23/11/2021,CB,2,363770,283.298,,30.4
CB4S0719,Ch. bottae,23/11/2021,CB,3,279500,196.999,,30.4
,Control,23/11/2021,CB,1,1059647,840.823,,
CO3D0815,Cr. oreganus,23/11/2021,CO,1,260550,179.233,,184.3
CO3D0815,Cr. oreganus,23/11/2021,CO,2,377982,259.969,,184.3
,Control,23/11/2021,CO,1,1514395,1078.951,,
,Control,23/11/2021,CO,2,995305,688.197,yes,
,Control,23/11/2021,CO,3,1286906,879.977,no,
DP14S0601,D. punctatus,23/11/2021,DP,1,560895,378.408,no,16.2
DP14S0601,D. punctatus,23/11/2021,DP,2,307588,205.687,no,16.2
DP14S0601,D. punctatus,23/11/2021,DP,3,262708,176.654,no,16.2
,Control,23/11/2021,DP,1,1224599,814.275,no,
,Control,23/11/2021,DP,2,1207462,810.896,no,
,Control,23/11/2021,DP,3,1452297,971.075,no,
,Solvent Control,23/11/2021,DP,1,1067115,717.707,no,
,Solvent Control,23/11/2021,DP,2,1057091,719.285,no,
,Solvent Control,23/11/2021,DP,3,1174099,780.696,no,
PCC13D0630,P. catenifer,23/11/2021,PCC13,1,340359,225.037,no,17.2
PCC13D0630,P. catenifer,23/11/2021,PCC13,2,304938,208.699,no,17.2
PCC13D0630,P. catenifer,23/11/2021,PCC13,3,300736,199.989,yes,17.2
,Solvent Control,23/11/2021,PCC13,1,958303,637.243,no,
,Solvent Control,23/11/2021,PCC13,2,1014968,686.677,no,
,Solvent Control,23/11/2021,PCC13,3,1110086,733.992,no,
,Control,23/11/2021,PCC13,1,1183064,777.806,no,
,Control,23/11/2021,PCC13,2,1254034,838.729,no,
,Control,23/11/2021,PCC13,3,1313495,883.531,no,
PCC14D0705,P. catenifer,23/11/2021,PCC14,1,1117554,760.503,yes,27.7
PCC14D0705,P. catenifer,23/11/2021,PCC14,2,294930,195.001,no,27.7
PCC14D0705,P. catenifer,23/11/2021,PCC14,3,298185,198.292,yes,27.7
,Control,23/11/2021,PCC14,1,1326751,887.393,yes,
,Control,23/11/2021,PCC14,2,1299777,884.529,no,
,Control,23/11/2021,PCC14,3,1416525,952.78,yes,
PP1D0629,P. platyrhinos,23/11/2021,PP,1,311569,203.642,no,21.5
PP1D0629,P. platyrhinos,23/11/2021,PP,2,787430,531.118,no,21.5
PP1D0629,P. platyrhinos,23/11/2021,PP,3,1018633,689.116,no,21.5
,Solvent Control,23/11/2021,PP,1,1055783,718.395,no,
,Solvent Control,23/11/2021,PP,2,1133485,789.511,no,
,Solvent Control,23/11/2021,PP,3,1150049,778.021,no,
,Control,23/11/2021,PP,1,1339673,901.021,no,
,Control,23/11/2021,PP,2,1375275,919.727,no,
,Control,23/11/2021,PP,3,1268388,843.329,no,
