well,row,column,plate,media,taxa,day,oo,od620,oo_growth,oo_mass,bacterial_strain,replicate,index,index2
A1,A,1,1,keratin,EKS20.5,1,1,0.37,0.13,0.016,Stenotrophomonas,A,2,4
C1,C,1,1,keratin,BR1.9,1,1,0.309,0.12,0.021,Actinetobacter,A,2,4
E1,E,1,1,keratin,BR1.10,1,1,0.228,0.07,0.022,Chryseobacterium,A,2,4
G1,G,1,1,keratin,blank,1,1,0.247,0.16,0.037,blank,A,2,4
A3,A,3,1,keratin,EKS20.5,1,1,0.347,0.12,0.028,Stenotrophomonas,B,2,4
C3,C,3,1,keratin,BR1.9,1,1,0.265,0.13,0.02,Actinetobacter,B,2,4
E3,E,3,1,keratin,BR1.10,1,1,0.233,0.1,0.023,Chryseobacterium,B,2,4
G3,G,3,1,keratin,blank,1,1,0.219,0.2,0.033,blank,B,2,4
A5,A,5,1,keratin,EKS20.5,1,1,0.334,0.15,0.022,Stenotrophomonas,C,2,4
C5,C,5,1,keratin,BR1.9,1,1,0.311,0.09,0.034,Actinetobacter,C,2,4
E5,E,5,1,keratin,BR1.10,1,1,0.225,0.12,0.028,Chryseobacterium,C,2,4
G5,G,5,1,keratin,blank,1,1,0.221,0.17,0.062,blank,C,2,4
A7,A,7,1,keratin,EKS20.5,1,0,0.293,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,1,keratin,BR1.9,1,0,0.24,NA,NA,Actinetobacter,A,2,3
E7,E,7,1,keratin,BR1.10,1,0,0.231,NA,NA,Chryseobacterium,A,2,3
G7,G,7,1,keratin,blank,1,0,0.229,NA,NA,blank,A,2,3
A9,A,9,1,keratin,EKS20.5,1,0,0.291,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,1,keratin,BR1.9,1,0,0.229,NA,NA,Actinetobacter,B,2,3
E9,E,9,1,keratin,BR1.10,1,0,0.228,NA,NA,Chryseobacterium,B,2,3
G9,G,9,1,keratin,blank,1,0,0.225,NA,NA,blank,B,2,3
A11,A,11,1,keratin,EKS20.5,1,0,0.309,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,1,keratin,BR1.9,1,0,0.231,NA,NA,Actinetobacter,C,2,3
