od620,row,column,hour,testid,media,taxa,well,experiment,hour.exp,sp_id,bac_sp,sp_full
0.311,A,10,0,375,1%-Keratin,Sp.1,A10,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.336,B,10,0,375,1%-Keratin,Sp.2,B10,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.344,C,10,0,375,1%-Keratin,Sp.3,C10,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.333,D,10,0,375,1%-Keratin,blank,D10,1,12/30/1899,NA,NA,NA - NA
0.344,A,11,0,375,1%-Keratin,Sp.1,A11,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.346,B,11,0,375,1%-Keratin,Sp.2,B11,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.347,C,11,0,375,1%-Keratin,Sp.3,C11,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.347,D,11,0,375,1%-Keratin,blank,D11,1,12/30/1899,NA,NA,NA - NA
0.349,A,12,0,375,1%-Keratin,Sp.1,A12,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.354,B,12,0,375,1%-Keratin,Sp.2,B12,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.361,C,12,0,375,1%-Keratin,Sp.3,C12,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.354,D,12,0,375,1%-Keratin,blank,D12,1,12/30/1899,NA,NA,NA - NA
0.438,A,10,0,376,1%-Keratin,Sp.1,A10,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.366,B,10,0,376,1%-Keratin,Sp.2,B10,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.917,C,10,0,376,1%-Keratin,Sp.3,C10,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.378,D,10,0,376,1%-Keratin,blank,D10,1,2/17/1900,NA,NA,NA - NA
0.444,A,11,0,376,1%-Keratin,Sp.1,A11,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.382,B,11,0,376,1%-Keratin,Sp.2,B11,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.812,C,11,0,376,1%-Keratin,Sp.3,C11,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.385,D,11,0,376,1%-Keratin,blank,D11,1,2/17/1900,NA,NA,NA - NA
0.448,A,12,0,376,1%-Keratin,Sp.1,A12,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.397,B,12,0,376,1%-Keratin,Sp.2,B12,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.828,C,12,0,376,1%-Keratin,Sp.3,C12,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.397,D,12,0,376,1%-Keratin,blank,D12,1,2/17/1900,NA,NA,NA - NA
